;;;;;;;;;;
;A;A1;B;C;C1;D;E;F;G;Total general
Renovación de Licencia; 16 ; -   ; 207 ; 42 ; -   ; 12 ; 65 ; 1 ; 4 ; 347 
Marzo; 34 ; -   ; 514 ; 78 ; -   ; 37 ; 136 ; 2 ; 2 ; 803 
Duplicado o Reimpresión de Licencia; 4 ; -   ; 34 ; 6 ; -   ; 2 ; 17 ; -   ; -   ; 63 
Emisión de Licencia por Primera Vez; 9 ; -   ; 128 ; 9 ; -   ; -   ; 5 ; -   ; -   ; 151 
Renovación de Licencia; 21 ; -   ; 352 ; 63 ; -   ; 35 ; 114 ; 2 ; 2 ; 589 
Abril; 41 ; -   ; 415 ; 83 ; -   ; 32 ; 87 ; 2 ; 2 ; 662 
Duplicado o Reimpresión de Licencia; -   ; -   ; 27 ; 4 ; -   ; 1 ; 12 ; -   ; -   ; 44 
Emisión de Licencia por Primera Vez; 8 ; -   ; 56 ; 3 ; -   ; 1 ; 2 ; -   ; -   ; 70 
Renovación de Licencia; 33 ; -   ; 332 ; 76 ; -   ; 30 ; 73 ; 2 ; 2 ; 548 
Mayo; 25 ; 2 ; 331 ; 86 ; -   ; 19 ; 98 ; -   ; 4 ; 565 
Duplicado o Reimpresión de Licencia; 1 ; -   ; 26 ; 11 ; -   ; 1 ; 8 ; -   ; 1 ; 48 
Emisión de Licencia por Primera Vez; 3 ; -   ; 86 ; 3 ; -   ; -   ; 2 ; -   ; -   ; 94 
Renovación de Licencia; 21 ; 2 ; 219 ; 72 ; -   ; 18 ; 88 ; -   ; 3 ; 423 
CARCHI; 25 ; -   ; 332 ; 129 ; -   ; 48 ; 196 ; -   ; 2 ; 732 
Enero; 4 ; -   ; 36 ; 14 ; -   ; 9 ; 17 ; -   ; -   ; 80 
Duplicado o Reimpresión de Licencia; 1 ; -   ; 9 ; 7 ; -   ; 5 ; 9 ; -   ; -   ; 31 
Emisión de Licencia por Primera Vez; -   ; -   ; 11 ; 5 ; -   ; 1 ; 1 ; -   ; -   ; 18 
Renovación de Licencia; 3 ; -   ; 16 ; 2 ; -   ; 3 ; 7 ; -   ; -   ; 31 
Febrero; 6 ; -   ; 81 ; 44 ; -   ; 11 ; 50 ; -   ; 1 ; 193 
Duplicado o Reimpresión de Licencia; 1 ; -   ; 13 ; 7 ; -   ; 4 ; 17 ; -   ; -   ; 42 
Emisión de Licencia por Primera Vez; -   ; -   ; 24 ; 23 ; -   ; -   ; 5 ; -   ; -   ; 52 
